Country Name;Country Code;Indicator Name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Column1
Armenia;ARM;GDP per capita (current US$);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,37856E+13;5,90506E+14;3,69707E+14;3,57203E+14;4,00516E+14;4,56375E+14;5,0406E+14;5,23284E+14;6,09172E+13;5,97433E+14;6,22741E+14;6,94423E+14;7,83241E+14;9,30125E+14;1,19192E+14;1,64376E+14;2,15815E+13;3,13928E+14;4,01086E+14;2,99434E+14;3,21838E+14;3,52581E+14;3,68184E+14;3,83817E+14;3,98623E+14;3,60729E+14;3,59183E+14;3,91453E+14;4,22054E+14;4,60465E+14;4,26602E+14;4,67001E+12;
American Samoa;ASM;GDP per capita (current US$);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,66666E+14;8,80746E+14;8,52825E+14;8,39532E+14;8,34052E+14;8,87488E+14;9,74082E+14;1,191E+13;1,02168E+14;1,02233E+14;1,14965E+14;1,14507E+14;1,15252E+14;1,20596E+14;1,20382E+14;1,10038E+14;1,15216E+14;1,17154E+14;1,28449E+14;;
Antigua and Barbuda;ATG;GDP per capita (current US$);;;;;;;;;;;;;;;;;;1,24669E+14;1,41654E+14;1,76083E+14;2,12462E+14;2,39269E+14;2,66056E+14;2,94832E+14;3,3726E+14;3,89939E+14;4,70318E+14;5,4636E+14;6,45484E+14;7,07654E+14;7,34765E+14;7,60235E+14;7,74572E+14;8,13619E+14;8,77114E+14;8,40636E+14;9,03057E+13;9,49166E+14;9,94085E+14;1,02606E+14;1,08723E+14;1,03673E+14;1,04011E+14;1,0798E+14;1,1447E+14;1,25575E+14;1,39958E+14;1,56227E+14;1,60441E+14;1,41606E+14;1,3049E+14;1,27466E+14;1,32727E+14;1,29106E+14;1,35016E+14;1,42853E+14;1,51987E+14;1,53836E+14;1,66796E+14;1,73766E+14;1,39927E+14;1,49008E+14;
Australia;AUS;GDP per capita (current US$);1,81062E+14;1,87762E+13;1,85466E+14;1,96712E+14;2,13138E+14;2,2811E+14;2,344E+14;2,58027E+14;2,72437E+14;2,99161E+14;3,30513E+14;3,49558E+14;3,95017E+14;4,77167E+13;6,48412E+14;7,00591E+14;7,48959E+14;7,77816E+14;8,25574E+14;9,29733E+14;1,02118E+14;1,18546E+14;1,27885E+14;1,15384E+14;1,24546E+14;1,14592E+13;1,13849E+14;1,16455E+14;1,42792E+14;1,7828E+14;1,82435E+14;1,88558E+14;1,86042E+14;1,76672E+14;1,80794E+14;2,03583E+14;2,19043E+14;2,35094E+14;2,1346E+14;2,0559E+14;2,16977E+14;1,95273E+14;2,01178E+14;2,34924E+14;3,05139E+14;3,4081E+14;3,61175E+13;4,10011E+14;4,96549E+14;4,27833E+14;5,2088E+14;6,25741E+14;6,80278E+14;6,81566E+14;6,25117E+14;5,6707E+14;4,98818E+14;5,39343E+14;5,71808E+14;5,48753E+14;5,16803E+14;5,99341E+14;
Austria;AUT;GDP per capita (current US$);9,3546E+14;1,03182E+13;1,08783E+13;1,167E+14;1,26941E+14;1,37453E+14;1,48697E+14;1,56967E+14;1,67767E+14;1,82539E+14;2,05877E+14;2,38098E+14;2,92405E+14;3,89072E+14;4,63076E+14;5,28562E+14;5,67839E+14;6,81063E+14;8,20547E+13;9,79377E+14;1,08695E+14;9,38525E+14;9,41035E+14;9,53741E+14;8,99107E+14;9,1721E+14;1,30831E+14;1,63928E+14;1,75786E+14;1,74689E+14;2,1681E+13;2,24109E+14;2,48802E+14;2,40815E+14;2,56467E+14;3,03258E+14;2,98091E+14;2,67055E+14;2,73619E+14;2,71835E+14;2,46256E+14;2,45588E+14;2,65276E+14;3,2294E+14;3,68892E+14;3,84175E+14;4,06693E+14;4,69153E+14;5,192E+14;4,81533E+14;4,69038E+14;5,14423E+14;4,85649E+14;5,07311E+14;5,17864E+14;4,41958E+14;4,53076E+14;4,74292E+14;5,14866E+14;5,01144E+14;4,85887E+14;5,32679E+14;
Azerbaijan;AZE;GDP per capita (current US$);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,23453E+14;1,20919E+14;6,04582E+14;2,09479E+14;1,57086E+14;3,14561E+14;4,09163E+14;5,055E+14;5,61907E+14;5,73917E+14;6,5512E+14;7,03684E+14;7,63081E+14;8,83734E+14;1,04501E+14;1,5784E+14;2,47308E+14;3,85144E+14;5,5746E+14;4,95029E+14;5,84353E+13;7,18969E+14;7,49629E+14;7,87576E+14;7,89131E+14;5,50031E+14;3,88074E+14;4,14709E+14;4,73984E+14;4,80575E+14;4,22991E+14;5,38403E+14;
Burundi;BDI;GDP per capita (current US$);7,00519E+14;7,11672E+14;7,34353E+14;7,85146E+14;8,61615E+14;5,13819E+14;5,21826E+14;5,48064E+14;5,49008E+14;5,57149E+14;6,97694E+14;7,16267E+14;6,91396E+14;8,44188E+14;9,46854E+14;1,13753E+14;1,18915E+14;1,42053E+13;1,54516E+14;1,9315E+14;2,21232E+14;2,27128E+14;2,31344E+14;2,40782E+14;2,13617E+14;2,42059E+14;2,45915E+14;2,25071E+14;2,09415E+14;2,09894E+14;2,08147E+14;2,09778E+14;1,90489E+14;1,61888E+14;1,56812E+14;1,67099E+14;1,43402E+14;1,58915E+14;1,44493E+14;1,28939E+14;1,36464E+13;1,34363E+14;1,23118E+14;1,13567E+14;1,28337E+14;1,51682E+14;1,67376E+14;1,72496E+14;1,98353E+14;2,12137E+14;2,34236E+14;2,49578E+14;2,52362E+14;2,56974E+13;2,74858E+14;3,05511E+14;2,51651E+14;2,50515E+14;2,38034E+14;2,23863E+14;2,33838E+14;2,36795E+14;
Belgium;BEL;GDP per capita (current US$);1,27369E+14;1,3502E+14;1,43852E+13;1,53502E+14;1,70185E+14;1,83559E+14;1,95763E+14;2,08664E+14;2,22236E+14;2,45808E+14;2,76589E+14;3,08293E+14;3,83163E+14;4,90096E+14;5,7338E+14;6,70138E+14;7,24305E+14;8,42695E+14;1,02898E+14;1,18106E+14;1,2864E+14;1,06228E+14;9,34386E+14;8,84623E+14;8,45727E+14;8,75082E+14;1,217E+14;1,51359E+14;1,63911E+13;1,65251E+14;2,06004E+14;2,10417E+14;2,33726E+13;2,22839E+14;2,42086E+14;2,84138E+14;2,74896E+14;2,48209E+14;2,53384E+14;2,52528E+14;2,30989E+14;2,30151E+14;2,50062E+13;3,06552E+14;3,54294E+14;3,68097E+14;3,87051E+14;4,43192E+13;4,83034E+13;4,47603E+14;4,41849E+13;4,74106E+14;4,46706E+14;4,6758E+14;4,77641E+14;4,10083E+13;4,20126E+14;4,41985E+14;4,75492E+14;4,65991E+14;4,51894E+14;5,17678E+14;
Benin;BEN;GDP per capita (current US$);9,30227E+14;9,55722E+14;9,44645E+14;9,98589E+14;1,0434E+14;1,10133E+14;1,12941E+14;1,11952E+14;1,16895E+14;1,16025E+14;1,14557E+14;1,1257E+14;1,3482E+14;1,61987E+14;1,74014E+14;2,073E+14;2,08656E+14;2,18454E+14;2,63581E+13;3,27822E+14;3,78044E+14;3,37978E+14;3,22777E+14;2,7113E+14;2,5287E+14;2,44411E+14;3,03349E+14;3,44503E+14;3,46737E+14;3,11678E+14;3,93687E+13;3,85754E+14;3,17963E+14;4,11926E+14;2,79667E+14;3,67388E+14;3,87432E+14;3,611E+14;3,79442E+14;5,51821E+14;5,12674E+14;5,18067E+14;5,7493E+14;7,11285E+14;7,98744E+14;8,22785E+14;8,56055E+14;9,66204E+14;1,12543E+14;1,08876E+14;1,03653E+14;1,13027E+14;1,14514E+14;1,25121E+14;1,29141E+14;1,0768E+14;1,08729E+14;1,13659E+14;1,24183E+13;1,21952E+14;1,29104E+14;1,42845E+14;
Burkina Faso;BFA;GDP per capita (current US$);6,84247E+14;7,15582E+13;7,65205E+13;7,83722E+14;8,04727E+14;8,17251E+14;8,25457E+13;8,43631E+14;8,47329E+14;8,65202E+14;8,15E+14;8,42878E+14;9,93267E+13;1,1378E+14;1,24359E+14;1,52728E+14;1,55649E+14;1,76783E+14;2,25942E+14;2,62076E+14;2,82686E+14;2,5423E+14;2,45094E+13;2,17995E+14;1,93843E+14;2,00894E+12;2,56762E+14;2,91132E+14;3,13062E+14;3,04854E+13;3,51979E+14;3,46411E+14;3,61047E+14;3,34943E+14;1,9307E+14;2,35832E+14;2,49361E+14;2,29493E+14;2,55718E+14;3,00422E+14;2,55719E+14;2,67098E+14;2,94665E+14;3,74627E+14;4,18377E+13;4,57933E+14;4,7345E+14;5,35062E+14;6,43405E+14;6,24175E+14;6,47836E+14;7,51173E+14;7,58E+14;7,87469E+14;7,92846E+13;6,53327E+13;6,88251E+14;7,34996E+14;8,04501E+14;7,96115E+14;8,57933E+14;9,18153E+13;
