DATE,CODE,CODE-2,MEAN,CLASSIFICATION
2014,AUS,AU,18.3926350338115,0.16666666666666666
2014,AUT,AT,25.45733333333333,0.4
2014,BEL,BE,21.207407407407405,0.3333333333333333
2014,BOL,BO,9.266666666666667,0.0
2014,BRA,BR,15.391666666666666,0.16666666666666666
2014,CAN,CA,8.293133718133719,0.0
2014,CHE,CH,16.4,0.0
2014,CHL,CL,16.054090094493322,0.16666666666666666
2014,CHN,CN,52.43590818825072,1.1666666666666667
2014,COL,CO,14.338888888888889,0.16666666666666666
2014,CYP,CY,30.023333333333333,0.4
2014,CZE,CZ,29.109666666666662,0.4
2014,DEU,DE,16.264618810102682,0.16666666666666666
2014,DNK,DK,68.95555555555556,0.8333333333333334
2014,ESP,ES,16.696451884435756,0.16666666666666666
2014,FIN,FI,11.51611111111111,0.16666666666666666
2014,FRA,FR,20.85188855150697,0.3333333333333333
2014,GBR,GB,20.843796296296297,0.3333333333333333
2014,HKG,HK,35.49444444444444,0.3333333333333333
2014,HRV,HR,15.270555555555553,0.16666666666666666
2014,HUN,HU,18.6515873015873,0.16666666666666666
2014,IND,IN,73.69817460317459,1.3333333333333333
2014,ISR,IL,26.63308979147215,0.3333333333333333
2014,ITA,IT,21.571103896103896,0.3333333333333333
2014,JPN,JP,23.278667341430502,0.3333333333333333
2014,KOR,KR,40.56357815442561,0.8333333333333334
2014,LTU,LT,19.060000000000002,0.4
2014,MAC,MO,47.65,1.0
2014,MEX,MX,37.364814814814814,1.0
2014,MNG,MN,57.188888888888876,1.1666666666666667
2014,NLD,NL,18.23114478114478,0.16666666666666666
2014,NOR,NO,14.245833333333335,0.16666666666666666
2014,PER,PE,25.099999999999998,0.3333333333333333
2014,POL,PL,29.659990253411305,0.3333333333333333
2014,PRT,PT,15.206666666666667,0.2
2014,REU,RE,7.713333333333333,0.0
2014,RUS,RU,11.261111111111113,0.16666666666666666
2014,SGP,SG,11.15,0.16666666666666666
2014,SLV,SV,98.33333333333331,2.0
2014,SVK,SK,20.419999999999998,0.8
2014,THA,TH,19.20267973856209,0.4
2014,TUR,TR,21.6620406681191,0.3333333333333333
2014,TWN,TW,35.40432098765432,0.5
2014,USA,US,11.9115137202589,0.16666666666666666
2014,VNM,VN,42.51666666666667,1.1666666666666667
2014,ZAF,ZA,7.283333333333333,0.0
2015,ARE,AE,46.03878086419753,0.6666666666666666
2015,ARG,AR,13.114622973925298,0.0
2015,AUS,AU,34.356392727923364,0.16666666666666666
2015,AUT,AT,17.662014184241055,0.2
2015,BEL,BE,17.325254976129255,0.16666666666666666
2015,BGR,BG,24.201299793356153,0.3333333333333333
2015,BOL,BO,15.577662570404506,0.0
2015,BRA,BR,17.54791591235869,0.16666666666666666
2015,CAN,CA,12.371236646689526,0.16666666666666666
2015,CHE,CH,15.865925925925925,0.0
2015,CHL,CL,26.331985541206816,0.3333333333333333
2015,CHN,CN,41.76653999843526,0.8333333333333334
2015,COL,CO,21.05460405156538,0.3333333333333333
2015,CYP,CY,19.880538943390135,0.16666666666666666
2015,CZE,CZ,24.227965379153964,0.4
2015,DEU,DE,18.272171047333988,0.16666666666666666
2015,DNK,DK,17.368253968253967,0.16666666666666666
2015,ECU,EC,22.426053639846742,0.16666666666666666
2015,ESP,ES,15.646231408714934,0.16666666666666666
2015,FIN,FI,11.501144191313953,0.16666666666666666
2015,FRA,FR,17.61002914658367,0.16666666666666666
2015,GBR,GB,15.50756122062475,0.16666666666666666
2015,GTM,GT,21.05,0.0
2015,HKG,HK,27.127601410934744,0.3333333333333333
2015,HRV,HR,15.420269152007384,0.16666666666666666
2015,HUN,HU,16.98319908661967,0.16666666666666666
2015,IDN,ID,66.33333333333334,1.0
2015,IND,IN,47.84240844399815,1.0
2015,IRN,IR,47.9188596491228,1.3333333333333333
2015,ISL,IS,6.6,0.0
2015,ISR,IL,24.900308550832452,0.3333333333333333
2015,ITA,IT,25.842555168554455,0.3333333333333333
2015,JPN,JP,19.145919698588962,0.16666666666666666
2015,KOR,KR,30.32640060805181,0.3333333333333333
2015,LTU,LT,17.6277413226077,0.2
2015,MAC,MO,29.424514991181656,0.3333333333333333
2015,MEX,MX,30.06189559120919,0.6666666666666666
2015,MKD,MK,22.316666666666666,0.3333333333333333
2015,MNG,MN,44.46299392097264,0.6666666666666666
2015,NLD,NL,17.101126343244086,0.16666666666666666
2015,NOR,NO,11.945147430253456,0.16666666666666666
2015,NZL,NZ,10.458333333333334,0.25
2015,PER,PE,25.640177043276434,0.5
2015,POL,PL,21.52921222835077,0.3333333333333333
2015,PRT,PT,20.02838882269426,0.2
2015,REU,RE,6.876907149190759,0.0
2015,ROU,RO,18.987186357174338,0.2
2015,RUS,RU,16.05195094760312,0.16666666666666666
2015,SGP,SG,17.39305697778524,0.16666666666666666
2015,SLV,SV,106.65193370165746,2.0
2015,SRB,RS,13.830659056703936,0.16666666666666666
2015,SVK,SK,24.600738526827364,0.8
2015,SWE,SE,16.698003284150403,0.0
2015,THA,TH,17.397291120227692,0.0
2015,TUR,TR,25.114167851004567,0.3333333333333333
2015,TWN,TW,25.474283057771746,0.3333333333333333
2015,USA,US,14.628378131812303,0.16666666666666666
2015,VNM,VN,27.552582935712877,0.6666666666666666
2015,ZAF,ZA,13.30921052631579,0.0
2016,ARE,AE,18.105234249912982,0.2
2016,ARG,AR,13.877910240333094,0.16666666666666666
2016,AUS,AU,9.057383155953923,0.0
2016,AUT,AT,15.515444889638541,0.2
2016,BEL,BE,15.353204403566833,0.16666666666666666
2016,BGD,BD,132.2016129032258,3.0
